input_role,validation_cohort,source_root,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,time_s,csv_path,row_count,column_schema,sha256,status
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,0.9,raw data\A3-950-8-60000\A3-950-8-60000-0.9s.csv,6576,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",ce7b9962cf30c3b5f07ae4852767f5ce473eb9861a5b6ac394df6495d9cca83d,ok
model_construction,,raw data,A3-950-8-60000,3,950.0,8.0,60000.0,12.0,1.0,raw data\A3-950-8-60000\A3-950-8-60000-1s.csv,6456,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",ba8ca0037e1a08c1af1f68601f6dfe753d12310ddad76405af5744bec37b172e,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.05,raw data\A4-750-6-60000\A4-750-6-60000-0.05s.csv,2580,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",4dfc5c05ece3d7ad1f0d278dd1055eb7e97026d4414a69b63ea8f0123853fa7a,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.1,raw data\A4-750-6-60000\A4-750-6-60000-0.1s.csv,4092,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",fd146a2d2f42b7ed9779cc9c56fc64bab7682f630fe7f58fc6920f6494098731,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.15,raw data\A4-750-6-60000\A4-750-6-60000-0.15s.csv,4800,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",2c6e11cdd231e89f6d24f5ef3223c94bdcc8698526aa41d815eae0da1a787490,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.2,raw data\A4-750-6-60000\A4-750-6-60000-0.2s.csv,5196,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",9f84dbe87706c6639567e6df92a7e00a1a2eccc7a04614f6b4c3a0d123939415,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.3,raw data\A4-750-6-60000\A4-750-6-60000-0.3s.csv,5160,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",43ca4a5a2bc8024e6adc3e236cf82ec2ab33586e8e0e5ce1b76d65ce0391390b,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.4,raw data\A4-750-6-60000\A4-750-6-60000-0.4s.csv,4212,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",110266ea44732abd0544a29460f96fd7dbd7eb3b7f416bd1eabb05d0996064e9,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.5,raw data\A4-750-6-60000\A4-750-6-60000-0.5s.csv,4368,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",9e21c6daaec7927acb01f4e3111782c66889a38f76629ceb6f4ce5d29f6acf65,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.6,raw data\A4-750-6-60000\A4-750-6-60000-0.6s.csv,4584,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",197ae2f2ab8878c17c26e54051d513a7d4a37397a69cd6a01ba03f88dfbee189,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.7,raw data\A4-750-6-60000\A4-750-6-60000-0.7s.csv,4944,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",21e8bd1fbb3a115b6bdda6d5ddc675f295c62df87e8616dbdca5831851656349,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.8,raw data\A4-750-6-60000\A4-750-6-60000-0.8s.csv,4884,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",4524be2af05ec9bc6dc224b353402450af73f16f684b2fd8620a62f0a62c3f4f,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,0.9,raw data\A4-750-6-60000\A4-750-6-60000-0.9s.csv,4284,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",cf5f4a0d847afa7ab59876e603f221d66512215e21c1f41c21fb23d1ca3894d3,ok
model_construction,,raw data,A4-750-6-60000,4,750.0,6.0,60000.0,12.0,1.0,raw data\A4-750-6-60000\A4-750-6-60000-1s.csv,4764,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",0456d99b0ed407f5194640818f8e41c0a9f979be52344c49ebda9b372842691a,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.05,raw data\A5-750-10-60000\A5-750-10-60000-0.05s.csv,2520,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",2a22aaec34100832f31c11380bd8b8933bbbc2cb2bc3b4fa35c6cea74c00eae5,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.1,raw data\A5-750-10-60000\A5-750-10-60000-0.1s.csv,4020,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",654e4cdd3a2aad4e2ca66da0630da341f1230d046260caf8ec04211fb0e8a9e5,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.15,raw data\A5-750-10-60000\A5-750-10-60000-0.15s.csv,4824,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",375cc2411ef7d86074f7dc582a210851aa27e8f61cf027a0a40095dbb96cdce9,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.2,raw data\A5-750-10-60000\A5-750-10-60000-0.2s.csv,5112,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",65883d54e31c642c775e2c6d3c734cd81367e0de3a301be39b85bae41a42fcce,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.3,raw data\A5-750-10-60000\A5-750-10-60000-0.3s.csv,5436,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",8e10e80b12ff3cecb7dc159db029e7a6eecd6b1c55df433f8702268fd8012b65,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.4,raw data\A5-750-10-60000\A5-750-10-60000-0.4s.csv,5568,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",bd30c1542d6c503fce2c7775f2591141638b02d6b821074901b8c70540bc4f39,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.5,raw data\A5-750-10-60000\A5-750-10-60000-0.5s.csv,5520,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",b69c64fd4c37c796d3d88dce7fb723e64434022139b4c5d48bd9749df73244b3,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.6,raw data\A5-750-10-60000\A5-750-10-60000-0.6s.csv,5616,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",bbe4edbf784329e4c9611e91545c7d20973b3cdfc63726f16b892c041b2267d9,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.7,raw data\A5-750-10-60000\A5-750-10-60000-0.7s.csv,5568,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",9ca92671ab167f9774a00517a022b0731f290f725a22d4fd23c287fb5d5bf05f,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.8,raw data\A5-750-10-60000\A5-750-10-60000-0.8s.csv,5616,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",c2fd788b31d7740b1fb166d6ce50cf1513ab91af6c6ba0bafca84f5c7c475765,ok
model_construction,,raw data,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.9,raw data\A5-750-10-60000\A5-750-10-60000-0.9s.csv,5244,"Points:0,Points:1,Points:2,Fraction Of Fluid,Heat Absorption Rate,Heat Flux Spatial Distribution,Melt Region,Pressure,Temperature,Temperature Gradient At Tgrdout,X-velocity,Y-velocity,Z-velocity",ce5aa34ee41c83484eec456b9a2f1bf0ebf9f8b7cde5d364b3617063e06147bc,ok
