state,label,fit_status,train_points,validation_points,q0,q_inf,k_per_s,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min
full_width_m,W,ok,9,3,0.0013,0.0015483351883995183,7.369436247732279,1.4970603545879333e-05,0.010179744380544802,1.3430816137915713e-05,0.008752492302390582,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
height_span_m,H,ok,9,3,0.00077602,0.0013143764683666167,13.205674492256554,3.61664360196882e-05,0.030236573591662805,1.4457993628950946e-05,0.011000946265132924,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
Tmax_K,Tmax,ok,9,3,3843.6,3048.0411379485317,34.45175521442641,76.28830196534638,0.024177913545092453,49.71463845570511,0.016402599378305162,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
Gmean_K_per_m,Gmean,ok,9,3,2910736.966292135,1417297.486756258,16.631530305948232,75759.46223944116,0.044526073495645586,46470.31416167579,0.03388644458120459,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
Umax_m_per_s,Umax,ok,9,3,0.47024608969985066,0.5307631538266367,99.99999999788488,0.07550628404231306,0.14406984742117807,0.07531586023938544,0.14115338047446307,A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0
front_length_m,L_f,ok,9,3,0.0006505,0.0009576751914422335,20.77209328184812,0.0001405032425587693,0.15547362517875965,0.00026292986761659236,0.22609195220413245,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
rear_length_m,L_r,ok,9,3,0.00075752,0.0013474486783409396,8.74455989094183,4.911434590299476e-05,0.041591896806851575,8.199110472995776e-05,0.06478608112041331,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
full_width_m,W,ok,9,3,0.00136266,0.001717889708435921,20.82251309131091,3.785048851378191e-05,0.022852006014902896,1.497687055840274e-05,0.008769309916662091,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
height_span_m,H,ok,9,3,0.00101452,0.0014381609938608118,29.284346119684013,4.412678262459537e-05,0.0320483090733386,3.3402645859949374e-05,0.023702595625975258,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
Tmax_K,Tmax,ok,9,3,4232.9,2528.1576354968915,5.170811452664056,170.1627681548771,0.05348302100933465,76.65181061052643,0.02921552939036708,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
Gmean_K_per_m,Gmean,ok,9,3,2861593.9223300973,978840.8542097113,10.617194607443484,68311.50442879471,0.04727478831176142,23093.676164248223,0.02325071944057711,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
Umax_m_per_s,Umax,ok,9,3,0.6888825453449957,0.5970661963478222,99.99999999986554,0.10168093264139658,0.1674333736670849,0.09694034732746275,0.18610630700542735,A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0
front_length_m,L_f,ok,9,3,0.0005914599999999999,0.0006716413174238581,99.99999999994364,0.00030492990093493425,0.4601357265468656,7.121526878589463e-05,0.11591655708191853,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00075143,0.0009839692833367333,9.169831582776474,5.884958031679473e-05,0.0638846489215464,6.311840633298248e-05,0.06067521757208004,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
full_width_m,W,ok,9,3,0.00133882,0.0014067770020557942,99.99999999999687,0.00012906355523394883,0.09224228136047459,7.73008913313905e-05,0.05486950577653333,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
height_span_m,H,ok,9,3,0.00088541,0.001082700333624793,41.54346096175369,8.73303806894651e-05,0.0825827272286649,0.00011353868674355411,0.09579389035650812,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
Tmax_K,Tmax,ok,9,3,3386.9,2326.491918154858,6.735680529670533,317.11126014806155,0.11805003852270224,37.8868902500822,0.016462063430601734,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2608910.6532066506,863789.9336613278,12.614167793034897,196660.7533934735,0.15640539967892805,98752.19319802805,0.10531367883761023,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.5378288153539191,0.5449139753643292,5.718941430677144,0.09968856685648991,0.18574198765340302,0.23339345524055266,0.3571570506015719,A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0
front_length_m,L_f,ok,9,3,0.0005920000000000001,0.0008504963037083728,22.48802460663407,0.00010821515119288316,0.1339149104520884,0.0006903982558481687,1.028449658644672,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00075,0.0011655917652901675,8.666146934087918,1.403332984822886e-05,0.013389673371830127,8.235552265062885e-05,0.06786051635681348,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
full_width_m,W,ok,9,3,0.00135312,0.0014646825778671633,21.10668570461678,5.93701633874717e-05,0.041104001729854636,0.00030251367278970955,0.23000527616343924,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
height_span_m,H,ok,9,3,0.00079938,0.0010581120211736513,72.84754677217619,3.3517490695832916e-05,0.03258589613197112,0.00038108850387751244,0.44264920420343096,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
