case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,context,state,label,model,train_points,validation_points,validation_rmse,validation_relative_rmse,status
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,49.39986636548686,0.016298745047836242,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,68178.82537807812,0.04971642713126335,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,24365.410452394313,0.01776741013888572,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.09095223512389271,0.17045832589099308,ok
A6-750-8-40000,6,750.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.06854543972392893,0.12846458239192335,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00019742558935794866,0.16976518231880477,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00026698985418995225,0.22958311240823692,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,1.4337828752406174e-05,0.01132917698454408,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,5.1450645252666325e-05,0.04065423545658043,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,1.3637013358258972e-05,0.00798479201712401,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,1.4352217730406862e-05,0.008403560996174694,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,7.722999978419462e-05,0.05480258847619612,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,3.985831096933127e-05,0.028283550686420533,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,99.08962273282378,0.03776761125631704,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,85.58633233469536,0.03262088641901742,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,48999.8407197135,0.04933305295805476,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,15123.404388450557,0.01522624764984892,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.06426421113363022,0.12337458381798867,ok
A7-750-8-70000,7,750.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.1079172199591172,0.20717973292420805,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,4.9864115353628805e-05,0.0811634453154395,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,5.144861573956027e-05,0.08374252466967659,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,7.950350097113159e-05,0.07642607758055457,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,9.617290653498998e-05,0.09245024340072093,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,0.0001859984121796026,0.132024880641582,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,7.339461207343982e-05,0.05209676139264238,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,8.488553689135348e-05,0.07161889966360112,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,0.00012316996513212996,0.10391991023933561,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,306.5718295386361,0.13320715610565848,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,236.74765485915262,0.1028681658909475,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,177987.770788968,0.18981398106574773,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,99161.8455746782,0.10575055013567937,ok
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.3294413588857254,0.5041371188602015,ok
