model,state,label,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,all_eigenvalues_stable,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,coupled_relative_improvement_vs_diagonal
diagonal_attractor,full_width_m,W,4.795431477207365e-05,0.03037967359649899,0.0002913434742021584,0.20009579140544664,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.033629446374776426
diagonal_attractor,height_span_m,H,2.1715294690293396e-05,0.016034778445388923,0.0004215162740471426,0.35942960259377005,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.007635172266408959
diagonal_attractor,Tmax_K,Tmax,295.1673568216073,0.08983119995788158,662.3795648958526,0.2411839514859096,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.03284102351007829
diagonal_attractor,Gmean_K_per_m,Gmean,57305.03532729294,0.03709704991819959,336954.79676320206,0.3179238992255196,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,-0.13231056653520698
diagonal_attractor,Umax_m_per_s,Umax,0.04942948987759023,0.09039175077082857,0.1819938994692667,0.3568193715774661,True,A5-750-10-60000,5,750.0,10.0,60000.0,12.0,0.010536394832233788
diagonal_attractor,front_length_m,L_f,3.699712498038134e-05,0.0459858199126384,0.00014082470537775364,0.15397970482678902,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,-0.027553245982379102
diagonal_attractor,rear_length_m,L_r,1.6810694574087857e-05,0.01746394306668791,4.942865105603361e-05,0.04477503266142304,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,-0.3974348847629853
diagonal_attractor,full_width_m,W,1.4970603545879333e-05,0.010179744380544802,1.3430816137915713e-05,0.008752492302390582,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,0.5576445696128793
diagonal_attractor,height_span_m,H,3.61664360196882e-05,0.030236573591662805,1.4457993628950946e-05,0.011000946265132924,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,0.07253758394521313
diagonal_attractor,Tmax_K,Tmax,76.28830196534638,0.024177913545092453,49.71463845570511,0.016402599378305162,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,0.043697310736771716
diagonal_attractor,Gmean_K_per_m,Gmean,75759.46223944116,0.044526073495645586,46470.31416167579,0.03388644458120459,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,-0.38170730337322123
diagonal_attractor,Umax_m_per_s,Umax,0.07550628404231306,0.14406984742117807,0.07531586023938544,0.14115338047446307,True,A6-750-8-40000,6,750.0,8.0,40000.0,8.0,0.002458096742019543
diagonal_attractor,front_length_m,L_f,0.0001405032425587693,0.15547362517875965,0.00026292986761659236,0.22609195220413245,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,-0.026119261426973135
diagonal_attractor,rear_length_m,L_r,4.911434590299476e-05,0.041591896806851575,8.199110472995776e-05,0.06478608112041331,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,0.29225670316328656
diagonal_attractor,full_width_m,W,3.785048851378191e-05,0.022852006014902896,1.497687055840274e-05,0.008769309916662091,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,0.2318941144189938
diagonal_attractor,height_span_m,H,4.412678262459537e-05,0.0320483090733386,3.3402645859949374e-05,0.023702595625975258,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,0.023549589009709358
diagonal_attractor,Tmax_K,Tmax,170.1627681548771,0.05348302100933465,76.65181061052643,0.02921552939036708,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,-1.7253114823642435
diagonal_attractor,Gmean_K_per_m,Gmean,68311.50442879471,0.04727478831176142,23093.676164248223,0.02325071944057711,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,-2.0366705042799125
