case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A4-750-6-60000,0.2,-0.0009787700000000001,0.001075,5.9605e-12,0.00078943,-0.0008045,0.00059818,1906.6495884773663,3237.6,1506810.2777777778,7608700.0,0.09497017747850908,0.4800998047281419,103656.32716049382,106670.0,15140549.783950618,142500000.0,0.8933508106995885,0.073798,4,750.0,6.0,0.006,60000.0,12.0,972
A4-750-6-60000,0.3,-0.00110298,0.0009837000000000001,1.0103e-09,0.00085681,-0.00059999,0.00085,1832.2720881427074,2464.6,1001900.072402938,7157200.0,0.10418461053988873,0.5133634214822868,104183.62014690452,113940.0,19104731.24868835,155440000.0,0.9343688405036725,0.125,4,750.0,6.0,0.006,60000.0,12.0,953
A4-750-6-60000,0.4,-0.0011968000000000003,0.0008499999999999996,1.6057e-08,0.00079128,-9.9916e-05,0.0010112,1803.487599469496,2378.0,859095.3806366047,2708400.0,0.10900897871997442,0.6342670741958785,103998.47877984085,114880.0,26277968.83289125,273600000.0,0.9810122811671088,0.15118,4,750.0,6.0,0.006,60000.0,12.0,754
A4-750-6-60000,0.5,-0.0012055,0.0007499999999999998,5.3627e-08,0.00079107,-0.00017494,0.0011547,1811.403355704698,2517.8,948178.4026845638,5110700.0,0.10013158700728908,0.5426760538295383,104175.71140939597,115320.0,25477433.1557047,205760000.0,0.9488703288590604,0.15402,4,750.0,6.0,0.006,60000.0,12.0,745
A4-750-6-60000,0.6,-0.0011384999999999998,0.0006500000000000004,3.5591e-08,0.00087295,-0.00030418,0.001112,1817.7072236180904,2733.2,977139.4145728643,4808600.0,0.12370223360169126,0.6390700535935008,103514.74246231155,114310.0,23407888.256281406,198840000.0,0.9053432600502512,0.11985,4,750.0,6.0,0.006,60000.0,12.0,796
A4-750-6-60000,0.7,-0.0010877999999999999,0.0009500000000000003,6.3778e-10,0.00081491,-0.00049998,0.00096774,1857.9240416210296,2976.9,1162655.2979189486,7612300.0,0.11078568246557777,0.46107339819707666,103380.53559693319,120730.0,17654787.924424972,147810000.0,0.8915773554216867,0.070308,4,750.0,6.0,0.006,60000.0,12.0,913
A4-750-6-60000,0.8,-0.0010756000000000003,0.0009852999999999997,9.3581e-10,0.00082218,-0.00049999,0.00092389,1848.244252232143,2635.5,1082930.7700892857,5098900.0,0.1077661081583656,0.5216796328207571,103460.15625,112340.0,18547837.03125,148670000.0,0.9132257087053571,0.125,4,750.0,6.0,0.006,60000.0,12.0,896
A4-750-6-60000,0.9,-0.001079,0.0006499999999999995,2.1413e-08,0.00085,-0.00021088,0.0011014,1766.1727702702703,2266.7,807426.3162162162,6086100.0,0.1045590807900897,0.6489384909989544,104509.99324324324,106920.0,22643238.783783782,175390000.0,0.9903714662162162,0.375,4,750.0,6.0,0.006,60000.0,12.0,740
A4-750-6-60000,1.0,-0.0011653000000000002,0.0008024,5.526e-09,0.00095,-0.00028938,0.00105,1846.9315850815851,2715.3,1120273.641025641,4449300.0,0.11973474027317194,0.5170894281108442,103301.83566433567,108280.0,19703329.66200466,138170000.0,0.9244805244755245,0.12415,4,750.0,6.0,0.006,60000.0,12.0,858
A5-750-10-60000,0.05,-0.0007758999999999999,0.0005851999999999999,0.0,0.00065858,-0.0007,0.00021814,1980.5652747252745,3538.1,2519502.89010989,12270000.0,0.10348984383183282,0.43590903971356226,102206.63956043957,105490.0,21239605.164835166,138750000.0,0.755565789010989,0.063831,5,750.0,10.0,0.01,60000.0,12.0,455
